Post URL,User,Author Name,Likes,Views,Shares,Comments,Comments Data,Caption,HashTags,Music,Date Posted,Date Collected
https://www.tiktok.com/@thefashioncouple/6926273319163546886,thefashioncouple,THEFASHIONCOUPLE,3000000,17800000,19500,12200,"['I love the CHANEL one 😍😩', 'The Gucci look was like Santa’s helpers, loveeee it🤩']","Since y’all wanted a part 2, here we go🥶follow our personal @sir_bucks @janinaneoral ",#fy #foryou #viral #frontrow #fashionshowchallenge #viral #style,Originalton,2021-02-07 03:28:06,2023-11-19 01:19:52.960168
https://www.tiktok.com/@laurashae/7119159111622692101,laurashae,Laura Shae,2900000,16900000,4749,9550,"['Not Bella chinking the brand of the glasses 😭😭😭', 'Bella looking at the glasses: “what is Shein?” 💀']",Balenciaga Dinner in Paris ,#kimkardashian #krisjenner #bellahadid #dualipa #chiaraferragni #nicolekidman #alexademie #christinequinn #emilyratajkowski #ashleyolsen #faikhadra #paris #hautcouture #fashionweek #fyp #foryou#parisfashionshow #viral #balenciaga,Originalton,2022-07-11 22:23:21,2023-11-19 01:19:54.771501
https://www.tiktok.com/@nina/7143450534337563950,nina,Nina Dobrev,2700000,14500000,5172,5920,"['THIS IS SO ICONIC', 'OH THESE ARE RHE GIRLS']",Find My IPhone ,#fashionweek #vanessahudgens #sabrinacarpenter #kekepalmer #alexandradaddario #kaitlyndever ,CUFF IT,2022-09-15 09:26:34,2023-11-19 01:19:57.556238
https://www.tiktok.com/@girls_model_and_fitness/7137104198860098821,girls_model_and_fitness,Girls model and fitness,2600000,36200000,89200,11300,"['Wow stunning mesmerizing', 'max.... OMG']",,#WowJetour #fashionweek #chicalinda #modelos #fitnessmodel #girls #model #sexy #fitness #fashion #chica #fitnessgirl #modelo #models #hermosa #cuerpofit,Crazy in Love,2022-08-29 06:59:33,2023-11-19 01:19:59.287403
https://www.tiktok.com/@kjbelll/6981842945314000134,kjbelll,kelly ❤︎,2500000,11700000,127800,217400,"['i feel like i’d pull all of this off 😳', 'i am my bestfriend and i think evreything will fit me well']",part one <3 ,#fashion #fashiontok #fashionweek #aesthetic #pinterest #zodiacs #astrology #foryoupage #fyp #foru #fypシ #bookworm #gymtok #foryou #fypp,romanticize that jealousy jealousy life,2021-07-06 21:26:31,2023-11-19 01:20:01.135981
https://www.tiktok.com/@kristy.sarah/7192747305148140842,kristy.sarah,Kristy Sarah,2400000,14400000,6778,6172,"['Doja dupe', 'Where on earth does she get these outfits from and so fast 😂']",the way his lip quivered though ,#dojacat #doja #pfw #parisfashionweek #fashionweek #reactions #couples #fw ,original sound,2023-01-26 05:43:15,2023-11-19 01:20:03.527884
https://www.tiktok.com/@clemnhc/7121284787414813958,clemnhc,C L E M,2400000,14100000,8071,4929,"['she looks so real', 'rich or not, makeup on or off, she’s literally gorgeous']",elle a pas de pores 😢  ,#bellahadid #pfw #fashionweek #paris,som original,2022-07-17 15:52:05,2023-11-19 01:20:05.428243
https://www.tiktok.com/@vincenzo.diminoo/7065008168807730478,vincenzo.diminoo,Vin,2400000,11700000,50200,28900,"['with yo man in Miami ✨material gworl✨', 'We Stan the no auto tune ❤️']",Y’all MATERIAL GWORLLL WAS GIVING😂😂😂 ,#fyp #materialgirl #nyfw #fashionweek,original sound,2022-02-16 00:10:01,2023-11-19 01:20:07.152273
https://www.tiktok.com/@alixpvrispam/7069705324151852294,alixpvrispam,alix ✰,2300000,9100000,5665,7962,"['DAMN I DIDNT KNOW SHE WAS THIS PRETTY', 'GOD RED HEAD KENDALL']",,#kendalljenner #paris #fashionweek <3,I love u so sped up,2022-02-28 15:57:23,2023-11-19 01:20:09.013501
https://www.tiktok.com/@zhannared/6910679264018976005,zhannared,Zhanna Red,2200000,9700000,10100,6653,"[""Victoria's secret: 😁🤩🤗\nGucci: 😐😐😐"", ""i loveee victoria's secret catwalks they are sooo energetic and radiate amazing energy""]",so much fun making this 🤓 ,#BoxingDay #modeltok #runwaymodel #modelcheck #modelling #kwanza #runwaywalk #catwalkchallenge #russianmodel,Originalton,2020-12-27 02:55:16,2023-11-19 01:20:10.752832
